SRNo P0                 error_P0  rndm1    P1             error_P1  rndm2
643   0.7281542173             3  nmc81      1.48E-16          13  nmc81 
644   0.8492356848             4  nmc81      5.706E-15         16  nmc81 
645   2.43743249609           11  mlc+01     6.8E-16            5  mlc+01 

646   0.84893275073            2  lzb+00     8E-16              1  lzb+00 
647   2.9483896038            15  kbm+03     1.17E-14           9  kbm+03 
648   0.34282539844            6  cmk01      5.297E-15          2  cmk01 
649   2.64219851320            5  mlk+09     12.560E-15         3  mlk+09 
650   0.26127055606            3  mlc+01     1.02E-16           6  mlc+01 

651   0.284351393041           6  jml+95     1.5263E-15         2  jml+95 
652   0.421118114249           6  kbm+03     1.5012E-15        11  kbm+03 
653   0.45848840672            7  dsb+98     1.9E-18            8  dsb+98 
654   0.279729147244           4  smd93      9.2543E-15         2  smd93 
655   1.028620                35  slr+14                       0  

656   1.27905759523            7  kel+09     2.37E-15           3  kel+09 
657   0.670037418386           3  hlk+04     5.6630E-16         3  hlk+04 
658   1.044851                 4  kek+13                       0  
659   0.50605841373            5  mlc+01     2.587E-15         18  mlc+01 
660   2.7642094208             5  kbm+03     1.108E-14         10  kbm+03 

661   0.8441085753             3  kbm+03     5.58E-15          14  kbm+03 
662   2.48380369300           10  kbm+03     9.79E-16           9  kbm+03 
663   0.47799086689            3  dmk+93     3.238E-15          1  dmk+93 
664   0.7926701073             5  nmc81      3.103E-15         18  nmc81 
665   0.5430085792             5  nmc81      5.31E-15           2  nmc81 

666   0.0026779231971205       2  blr+13     1.773E-21         18  blr+13 
667   0.52991319210            1  dmk+93     18.8787E-15        7  dmk+93 
668   0.196478664183           3  jml+95     1.52962E-15        7  jml+95 
669   0.280677974168          13  mlc+01     3.1177E-14         4  mlc+01 
670   0.53269880337           13  nmc81      3.014E-15          6  nmc81 

671   1.4787213559             4  nmc81      6.1E-16            2  nmc81 
672                           0                              0  
673   1.5652179638             8  kbm+03     3.39E-14           3  kbm+03 
674   0.6481166471             2  bbb+12     0.510E-15          9  bbb+12 
675   1.10640                  5  kkl+15                       0  

676   0.650434490647          17  hlk+04     5.603E-16          4  hlk+04 
677   0.345602948594           3  jbo+09     0.00054E-15       19  jbo+09 
678   0.1077182159234          2  dsb+98     2.1596E-17         4  dsb+98 
679   0.399192                 3  mld+96                       0  
680   0.478145482800           6  kmk+18     0.3306E-15         5  kmk+18 

681                           0                              0  
682   1.25752                  9  kbj+18                       0  
683   0.207953012189           4  hfs+04     3.558E-16          3  hfs+04 
684   0.009423406717798       17  nbb+14     2.469E-20         18  nbb+14 
685   1.23898957650            4  jml+95     1.3854E-14         2  jml+95 

686   0.1370546579332          4  jbo+09     0.00053E-15        2  jbo+09 
687   0.55817922185            5  kbm+03     3.5E-16            3  kbm+03 
688   0.37862206628            4  nmc81      5.0512E-15        16  nmc81 
689   0.627285365870          16  mlc+01     1.9461E-14         8  mlc+01 
690   0.193339746306          19  wmp+00     2.53107E-13        3  wmp+00 

691   0.002545                 1  hrs+07                       0  
692   0.002389420757786        1  hrs+07     1.858E-20          4  hrs+07 
693   0.002166                 1  hrs+07                       0  
694   0.00544297516            6  hrs+07                       0  
695   0.54010232140            6  kbm+03     4.3E-17            4  kbm+03 

696   1.25308459010           18  mlc+01     3.25E-15           8  mlc+01 
697   0.2996251068             2  bbb+12     0.035E-15          3  bbb+12 
698   0.609961754304          15  mlc+01     1.4160E-14         7  mlc+01 
699   0.9277722389             3  mlc+01     3.79E-15           7  mlc+01 
700   0.259362860073           9  mlc+01     5.125E-15          4  mlc+01 

701   0.3730340                1  ncb+15                       0  
702   0.29569917630            3  dsb+98     7.526E-16          6  dsb+98 
703   0.1381577782128         12  cwp+17     8.88351E-15        4  cwp+17 
704   0.628902546380          16  ebvb01     1.234E-15          3  ebvb01 
705   2.951938334              3  kbm+03     1.48E-14          11  kbm+03 

706   0.64430109622            8  nmc81      2.813E-15          4  nmc81 
707   2.0386738254             4  lfl+06     7.1E-16            9  lfl+06 
708   1.21338122674            5  kbm+03     5.986E-15         11  kbm+03 
709   0.276603043150          10  kbm+03     3.1E-18            6  kbm+03 
710   0.507379566696           6  dsb+98     7.2350E-16        10  dsb+98 

711   0.455761                 1  jlm+92                       0  
712   0.166108327507          14  lfl+06     3.601843E-13      14  lfl+06 
713   0.912971                 1  dsb+98                       0  
714   0.12750077685            3  nmc81      6.3385E-15        13  nmc81 
715   0.00308423326039194      8  skm+17     7.2333E-21        15  skm+17 

716   0.0311816011             3  rmg+10     3.890E-14          6  rmg+10 
717   0.842789632370          14  smd93      1.67258E-14        8  smd93 
718   1.380177                 5  mlt+78                       0  
719   0.39917017693            5  kbm+03     9E-17              2  kbm+03 
720   1.3061978120             8  ebvb01     1.204E-15         16  ebvb01 

721   2.65043873290            3  bfrs18     1.37445E-15       12  bfrs18 
722   2.34680                  4  kbj+18                       0  
723   0.00760220343251         1  btb+15     2.79E-20           4  btb+15 
724   0.61757468514            4  lfl+06     1.198E-15         12  lfl+06 
725   0.28834924425            5  kbm+03     6.11E-16          10  kbm+03 

726   0.213074653776          14  mlc+01     5.4701E-14         3  mlc+01 
727   0.49234420664            5  mlc+01     3.156E-15          8  mlc+01 
728   0.7016149492             3  mlc+01     8.85E-15           7  mlc+01 
729   0.5285907792             3  bbb+12     0.84E-15           1  bbb+12 
730   0.0500519462             0  ojk+08     32E-15             0  ojk+08 

731   0.2787294436271         15  eb01b      6.74E-18           9  eb01b 
732   0.062452895517590        2  msf+17     9.56E-20          51  msf+17 
733   0.52915639797            4  mlc+01     1.91E-15           3  mlc+01 
734   0.315224970657          12  mlc+01     9.86598E-14       13  mlc+01 
735   0.059198212396           7  zhi+11     4E-19              2  zhi+11 

736   0.28562462018           16  kbm+03     3.3344E-13        15  kbm+03 
737   0.10974069969            3  sdz+10     2.7680E-14         4  sdz+10 
738   0.29240770249            3  mlc+01     2.229E-15          6  mlc+01 
739   0.394945790784           2  jml+95     7.4343E-15         2  jml+95 
740   4.6301880619             4  ebvb01     6.39E-15           7  ebvb01 

741   0.39247897310            5  hfs+04     5.800E-16         10  hfs+04 
742   0.794882546              2  bbb+12     0.12E-15           5  bbb+12 
743   0.29558048193            3  mlc+01     4.280E-15         15  mlc+01 
744   0.0026642160             4  crr+16                       0  
745   1.09680600340            2  dsb+98     8.892E-16          3  dsb+98 

746   1.6725956812             3  kbm+03     2.71E-16          17  kbm+03 
747   0.110573011690          13  rkp+11     1.69394E-13       10  rkp+11 
748   0.9357719221             3  nmc81      2.37E-16          12  nmc81 
749   0.03411713084786        12  hfs+04     6.8E-20           17  hfs+04 
750   0.06817987659            2  dkm+01     8.3167E-14         3  dkm+01 

751   0.00638572883816         3  kbj+18     1.27E-20           4  kbj+18 
752   0.34096785164           12  pga+13     9.6836E-14        11  pga+13 
753   0.333410710172           3  jbo+09     1.45130E-15        6  jbo+09 
754   0.770374845874          18  hfs+04     7.80E-16           3  hfs+04 
755   1.427                    0  kkl+11                       0  

756   0.366734060217           6  kbm+03     3.943E-15          3  kbm+03 
757   1.02350369913            9  kbm+03     2.4E-16            7  kbm+03 
758   0.35326292024            8  kbm+03     2.2E-17            2  kbm+03 
759   0.70786760576            4  kbm+03     7.42E-16          16  kbm+03 
760   0.50173030987            8  mlc+01     4.8E-16            4  mlc+01 

761   0.586485556229          18  jbo+09     0.6212E-15         7  jbo+09 
762   0.570290462862           7  smd93      2.0805E-15         4  smd93 
763   0.11584261008            3  sdz+10     3.0500E-14         3  sdz+10 
764   0.76391483053            8  mlc+01     4.2751E-14         9  mlc+01 
765   0.785440757324           8  smd93      2.7695E-15         5  smd93 

766   0.0020119534425332       9  btb+15     1.411E-20          3  btb+15 
767   0.0041105439567658      12  bbb+13     6.42E-21          12  bbb+13 
768   2.0349894792             3  bbb+12     5.924E-15          8  bbb+12 
769                           0                              0  
770   1.9544296353             5  kel+09     5.63E-15           4  kel+09 

771   0.30636786268            4  kbm+03     3.020E-15         17  kbm+03 
772   0.96334832315           16  mlc+01     1.03E-15           8  mlc+01 
773   0.04174114783993         3  slr+14     5.50E-19           1  slr+14 
774   0.472995435514          16  hfs+04     1.5433E-15         7  hfs+04 
775   0.009347972210248        7  clm+01     2.45E-20           5  clm+01 

776   0.0616961234035          9  cng+09     8.5870E-15         5  cng+09 
777   0.46761632345            7  hfs+04     6.3304E-15         9  hfs+04 
778   0.028634888190455       12  lfl+06     1.418E-19         10  lfl+06 
779   0.947903                 2  kkl+15                       0  
780   0.45960536385            3  nmc81      1.1201E-15        11  nmc81 

781   1.17584002290           10  kbm+03     3.6E-16            5  kbm+03 
782   0.7320612647             5  bbb+12     0.338E-15          9  bbb+12 
783   2.7602279448             6  mlc+01     8.2E-15            3  mlc+01 
784   4.7585755679             2  mlk+09     18.542E-15         8  mlk+09 
785   0.00219469577985001      7  nbb+14     9.8102E-21        20  nbb+14 

786   0.463329577191          18  kbm+03     8.6E-17            9  kbm+03 
787   0.38662501748            3  mlc+01     5.0706E-14        18  mlc+01 
788   0.1549913579183          8  kbm+03     1.44989E-15       10  kbm+03 
789   0.0057923027385756       3  abb+18     1.167E-20          3  abb+18 
790   0.1794847539641         11  smd93      2.74610E-15        7  smd93 

791   0.04524877299803        11  clm+01     8.17E-19           9  clm+01 
792   0.00798720480610417      4  abb+18     2.43043E-20        5  abb+18 
793   0.1761912                2  kek+13                       0  
794   0.53681                  0  bcm+15                       0  
795   0.2633768148933         19  smd93      9.826E-17         13  smd93 

796   1.7483010801             7  nmc81      5.29E-15           3  nmc81 
797   1.4986374368             4  kbm+03     3.66E-15           7  kbm+03 
798   0.39073936418            5  kbm+03     1.2306E-14        14  kbm+03 
799   0.103150638274          11  rkp+11     2.52704E-14        6  rkp+11 
800   0.4640368139284         82  lbr+13     2.391E-16         60  lbr+13 

801   0.7829485661             3  kbm+03     1.7E-16            8  kbm+03 
802   0.535504397790           3  hfs+04     1.8286E-15         3  hfs+04 
803   0.66810515091           14  kbm+03     3.640E-14          8  kbm+03 
804   0.84210384000            3  kbm+03     1.348E-15          7  kbm+03 
805   0.02674442376700         6  nbb+14     3.145E-19         14  nbb+14 

806   3.31400150122           12  clm+05     0.14E-15           2  clm+05 
807   0.41298519981            3  kbm+03     5.529E-15         12  kbm+03 
808   0.840738545              3  nmc81      6.37E-15          14  nmc81 
809   0.28675704522            3  nmc81      1.6045E-15        12  nmc81 
810   0.35565490117            6  nmc81      1.157E-15          3  nmc81 

811   0.739681922904           4  hlk+04     4.99821E-15        4  hlk+04 
812   0.088921760489           3  kbm+03     9.1698E-15         7  kbm+03 
813   0.33903844870            4  kbm+03     2.121E-15         12  kbm+03 
814   0.9438712975            11  nmc81      6.1E-16            4  nmc81 
815   0.2003836959221         17  kbm+03     4.848E-16          3  kbm+03 

816   0.30151055002            4  kbm+03     3.44E-16          19  kbm+03 
817   2.0405315742             3  kbm+03     1.92E-15           6  kbm+03 
818   0.128694148448           2  jml+95     6.85121E-15        6  jml+95 
819   0.97345803480            9  mlc+01     2.755E-14          4  mlc+01 
820   0.15125125831483         7  lk11       1.5314675176E-12    14  lk11 

821   1.046117156733           8  kkl+11     8.5284E-15         4  kkl+11 
822   0.45483920949            9  nmc81      9.25E-16           4  nmc81 
823   0.0035893366796749       7  ckr+15     1.8646E-20        11  ckr+15 
824   0.148796488226           5  kbm+03     2.8829E-15         7  kbm+03 
825   0.28664619650            4  kbm+03     6.098E-15          8  kbm+03 

826   0.650836871901           6  ebvb01     2.155E-16          6  ebvb01 
827   0.88661249686            5  bbb+12     2.098E-15          2  bbb+12 
828   0.005553592524205        2  awkp97     4.122E-20          6  awkp97 
829   0.007946940657879       21  awkp97     -3.33E-21         26  awkp97 
830   0.0024839275702455       6  prf+14     2.60690E-20       13  prf+14 

831   0.002988                 1  hrs+07                       0  
832   0.003182                 1  hrs+07                       0  
833   0.7949966745699         78  lbr+13     4.179E-16         56  lbr+13 
834   0.0409349889083329       6  jsk+08     2.7190E-20         3  jsk+08 
835   0.214924800284           6  kel+09     0.0406E-15        14  kel+09 

836   0.51875778474            3  lfl+06     4.273E-15          5  lfl+06 
837   2.15430706064           14  lfl+06     8.372E-15         19  lfl+06 
838   1.25405163056           10  hfs+04     5.96E-15           5  hfs+04 
839   1.3896046876            16  kbm+03     3.30E-15           8  kbm+03 
840   0.10213598087            4  pga+13     3.1239E-14         3  pga+13 

841   0.395352859901           3  jml+95     2.0035E-15         2  jml+95 
842   0.078218548881           5  kbm+03     3.895005E-14      19  kbm+03 
843   1.11604861927            8  kbm+03     3.5647E-13         5  kbm+03 
844   0.96104262694           10  kel+09     126.016E-15       10  kel+09 
845   1.01169421772            7  kbm+03     1.6174E-14        14  kbm+03 

846   0.3551560369998         16  ncb+15     8.96E-18           7  ncb+15 
847   0.011359881791767       19  nbb+14     1.314E-19          6  nbb+14 
848   0.28034866206            4  kbm+03     1.16E-16           7  kbm+03 
849   0.30188789663            5  kbm+03     1.23E-16          17  kbm+03 
850   2.4175822701             9  nmc81      1.907E-14          4  nmc81 

851   1.0487048866             6  nmc81      1.128E-14          3  nmc81 
852   0.06082223035146         1  jbo+07     24.9E-20           1  jbo+07 
853   0.526556139140           4  ebvb01     3.955E-16          4  ebvb01 
854   3.4673015170            17  ncb+15     7750E-18          20  ncb+15 
855   0.355686622097           8  cwp+17     2.475859E-14      13  cwp+17 

856   0.00848628211574         6  nbb+14     2.70E-20          13  nbb+14 
857   0.8912645399             4  kbm+03     8.1E-16            4  kbm+03 
858   0.8222487311             5  kbm+03     4.1E-15            3  kbm+03 
859   0.278956721152          15  mlc+01     4.683E-15          4  mlc+01 
860   0.9103                   0  bbb+12                       0  

861   0.356849312855           6  ebvb01     9.63E-17           6  ebvb01 
862   0.0842016828855          8  kbm+03     1.37406E-14        3  kbm+03 
863   1.124835742767           7  hlk+04     7.7956E-16         6  hlk+04 
864   0.44382460830            4  kbm+03     6.5E-17            6  kbm+03 
865   0.52297708597           13  ncb+15                       0  

866   1.2214259588             3  bbb+12     0.18E-15           2  bbb+12 
867   0.364835                 9  bb10                         0  
868   1.36888090921            2  smd93      1.4260E-15        18  smd93 
869   0.289688895200           6  jml+95     1.5429E-15         4  jml+95 
870   0.432866133845           6  ebvb01     4.0705E-15         6  ebvb01 

871   0.46840160422            3  jbo+09     0.0405E-15         9  jbo+09 
872   0.56673415672            4  kbm+03     1.4338E-14        10  kbm+03 
873   0.307177662775           7  kbm+03     2.716E-15          3  kbm+03 
874   1.31975904174            5  jbo+09     0.7900E-15        19  jbo+09 
875   0.00308                  0  rap+12                       0  

876   0.8814384311             3  mlc+01     1.91E-15           8  mlc+01 
877   0.55784066031            3  kel+09     1.366E-15          7  kel+09 
878   0.03790444117830463     16  fst14      2.422494E-18       3  fst14 
879   0.30131077523            8  jbo+09     1.932E-15          2  jbo+09 
880   1.52812410566           12  kbm+03     4.172E-15         12  kbm+03 

881   0.43046412386           15  mlc+01     2.78E-15           6  mlc+01 
882   3.44938495332           10  kkl+15     6.889E-15         12  kkl+15 
883   0.27672613726            5  mlc+01     1.42E-15           3  mlc+01 
884   0.39573063893            8  kel+09     0.041E-15         15  kel+09 
885   0.104674920844           4  hfs+04     3.2082E-15         4  hfs+04 

886   1.90849449143            2  ncb+15     7311.8E-18         7  ncb+15 
887   0.84398039688           14  kbm+03     7.12E-15           8  kbm+03 
888   0.341212811806           6  lfl+06     4.5498E-15         6  lfl+06 
889   0.506568335296          18  kbm+03     4.2E-17            3  kbm+03 
890   1.27284159978           14  eklk13     1.267E-15          2  eklk13 

891   1.00495831813            8  kbm+03     7.28E-16           8  kbm+03 
892   0.24339220040            2  jml+95     4.8493E-15         7  jml+95 
893   1.63084630957            3  jbo+09     0.2016E-15         6  jbo+09 
894   0.61291628569            8  mlc+01     4.2E-16            3  mlc+01 
895                           0                              0  

896   0.29583755345            9  kbm+03     7.502E-14          3  kbm+03 
897   0.5992450364             1  dsb+98     3.968E-15          3  dsb+98 
898   1.7838649877             3  hfs+04     5.9E-16            6  hfs+04 
899   1.20756776526            6  kbm+03     7.780E-14          3  kbm+03 
900   0.709064069786           4  hlk+04     8.7954E-16         4  hlk+04 

901   0.748448416229           6  hlk+04     4.3248E-16         4  hlk+04 
902   0.6442550645             6  kbm+03     1.0132E-14        17  kbm+03 
903   0.0020569603924157       6  nbb+14     1.6159E-20        13  nbb+14 
904   0.37711856263            3  mlc+01     5.2018E-14         9  mlc+01 
905   0.00215928839043292      5  brr+13     2.933E-21          5  brr+13 

906   0.178553799688          14  nmc81      6.07E-17           7  nmc81 
907   0.00357528861884712     12  bbb+13     5.250E-20          3  bbb+13 
908   0.0026056722466          1  lr11                         0  
909   0.58083988615            4  kbm+03     1.180E-14          3  kbm+03 
910   0.00780                  0  mlb+12                       0  

911   1.576924632943          44  lbr+13     2.938E-15         36  lbr+13 
912   0.64719774666            6  hfs+04     2.6E-17            5  hfs+04 
913   0.242190323768          10  kbm+03     5.94E-16           3  kbm+03 
914   0.14565471947            3  kbm+03     8E-19             11  kbm+03 
915   0.602738077704          19  kbm+03     4.047E-15          3  kbm+03 

916   0.170933992695           5  mlc+01     1.0736E-14         3  mlc+01 
917   1.262471311613           5  lxf+05     0.8541E-15         8  lxf+05 
918   0.288346763122           2  dsb+98     1.410892E-14       3  dsb+98 
919   0.7375                   3  bbj+11                       0  
920   0.49777239400            8  kbm+03     4.7E-17           10  kbm+03 

921   0.74965894957            4  kbm+03     1.7774E-14         6  kbm+03 
922   1.42112434544           13  kbm+03     9.35E-16          11  kbm+03 
923   2.06983302               4  crhr07     2.318E-11          5  crhr07 
924   0.00709                  0  hrm+11                       0  
925   0.6740603610             2  bbb+12     0.188E-15          8  bbb+12 

926   0.453394164640          11  hfs+04     1.951299E-13       9  hfs+04 
927   0.0062843113814174      12  lem+15     1.900E-20          4  lem+15 
928   0.0024278884863579       6  pbh+17     2.798E-21         11  pbh+17 
929   0.1988                   0  bbb+12                       0  
930   1.0813282469            15  nmc81      1.565E-14          6  nmc81 

931                           0                              0  
932   0.1252295584025          7  kkl+11     2.29442E-15        5  kkl+11 
933   3.418039313              3  kbm+03     3.12E-14          10  kbm+03 
934   0.97540989108            5  blr+13     2.054E-15          2  blr+13 
935   0.5325777412091         18  hlk+04     6.93702E-16       15  hlk+04 

936   0.5181097798008          9  hlk+04     6.2232E-17         9  hlk+04 
937                           0                              0  
938   0.99468068673           14  kbm+03     1.042E-14          8  kbm+03 
939   0.329186857758           2  dsb+98     3.3012E-16         2  dsb+98 
940   0.59457526355           15  mlc+01     6.04E-15           6  mlc+01 

941   1.12234168628            3  lfl+06     1.86406E-13        4  lfl+06 
942   1.16989                  0  bcm+15                       0  
943   0.2570560976508         11  smd93      1.01916E-15        8  smd93 
944   0.9572424424             4  nmc81      2.0479E-14        14  nmc81 
945   0.003597928455004779     8  abb+18     9.50006E-21        7  abb+18 

946   0.1926012327811          7  cuo03      5.062326E-15       8  cuo03 
947   0.194454482247           8  smd93      2.1252E-15         4  smd93 
948   1.2476661740             3  lfl+06     8.9E-16            7  lfl+06 
949   0.860777                 4  kek+13                       0  
950   2.559356631              7  mlc+01     7.2E-16           14  mlc+01 

951   0.288456511543          16  mlc+01     6.2371E-14         6  mlc+01 
952   0.81999003685           14  kbm+03     1.594E-14          3  kbm+03 
953   0.86422735995            5  dmk+93     6.9580E-14         3  dmk+93 
954   0.503                    0  dsm+16                       0  
955   0.283070376692          13  hlk+04     1.59223E-15       11  hlk+04 

956   0.778313192792           4  hlk+04     3.00939E-15        3  hlk+04 
957   0.1419085889640          9  ebvb01     1.2425E-16        17  ebvb01 
958   0.49607711306            9  dsb+98     2.795E-15          3  dsb+98 
959   0.0148419522510823       7  rhc+16     1.5630E-20         3  rhc+16 
960   0.883883                 5  kbj+18                       0  

961   1.3892                   0  kjr+11                       0  
962   0.527465874211          20  lfl+06     4.961E-15          9  lfl+06 
963   0.327417572788          13  smd93      1.0194E-15        11  smd93 
964   0.341402932218           4  dsb+98     8.40E-17           2  dsb+98 
965   6.88                     0  hab07                        0  

966   1.0136087473             5  mlc+01     4.75E-15          11  mlc+01 
967   0.6580131007             5  nmc81      2.56E-16          19  nmc81 
968   0.42181623358258        13  hlk+04     3.060926E-16       6  hlk+04 
969   0.34272279247            9  mlc+01     2.54E-15           4  mlc+01 
970   0.298116357616           9  bbb+12     0.0249E-15         3  bbb+12 

971   1.55791724762            7  jbo+09     0.509E-15          3  jbo+09 
972   0.249608954839           5  hfs+04     5.01E-16           4  hfs+04 
973   1.2794023539             7  mlc+01     1.296E-14         10  mlc+01 
974   1.018392746362          11  hlk+04     2.2984E-16         9  hlk+04 
975                           0                              0  

976   0.48111885215            5  mlc+01     1.3625E-14        10  mlc+01 
977   0.78646802352            9  kbm+03     2.615E-15         12  kbm+03 
978   1.29687                  2  kkl+15                       0  
979   1.296850239              3  kbm+03     1.95E-15          14  kbm+03 
980   0.66643792285            8  mlc+01     5.4E-16            3  mlc+01 

981   0.182491659288           4  jml+95     5.1658E-15         3  jml+95 
982   0.3545503166464         18  lfl+06     2.0E-18            4  lfl+06 
983   0.4266459810253         12  blr+13     3.727E-17         15  blr+13 
984   0.92383371069            3  jbo+09     1.5736E-15        12  jbo+09 
985   0.19268718417           14  ncb+15                       0  

986   0.48331051132           12  kbm+03     3.784E-15         12  kbm+03 
987   0.846907                 3  ncb+15                       0  
988   0.61552045802            3  bbb+12     0.9347E-15         9  bbb+12 
989   0.38237595278            5  nmc81      6.32E-16           2  nmc81 
990   0.45750181782            7  mlc+01     1.9231E-14        17  mlc+01 

991   0.65522059567           18  mlc+01     6.629E-15         18  mlc+01 
992   1.206801436397           5  hlk+04     2.35957E-15        3  hlk+04 
993   0.003150807655461170     4  abb+18     9.62419E-21       10  abb+18 
994   0.0335                   0  crh+06a                      0  
995   0.4641                   0  bbb+12                       0  

996   0.407292274238           6  dsb+98     1.5851E-16        10  dsb+98 
997   0.23169383623            8  wmp+00     4.94943E-13       17  wmp+00 
998   1.5340081422             5  kbm+03     7.44E-15           5  kbm+03 
999   0.57259227192            6  kbm+03     2.9E-17            8  kbm+03 
1000  2.47756787384            5  hlk+04     1.58437E-15       19  hlk+04 

1001  0.360957675308           4  kbm+03     3.377E-16          7  kbm+03 
1002  0.79152571562            2  jml+95     1.9993E-15         8  jml+95 
1003  0.491384121830          13  ncb+15     46592E-18          3  ncb+15 
1004  1.2195938825             8  mlc+01     1.908E-14          9  mlc+01 
1005  1.0258308926             4  mlc+01     2.891E-14         10  mlc+01 

1006  3.42846630955           13  ebvb01     1.8129E-14        15  ebvb01 
1007  0.567080221721          10  lfl+06     1.64665E-14       10  lfl+06 
1008  0.069356847              3  kcm+98     1.351E-13          2  kcm+98 
1009  0.011987308585310       22  ocg+18     5.408E-20         18  ocg+18 
1010  0.20355287786            5  kbm+03     1.9926E-15         8  kbm+03 

1011  1.023152                 4  kek+13                       0  
1012  0.1719346524466         15  pga+12     1.048790E-14      12  pga+12 
1013  1.15636028782            9  hfs+04     6.7E-17            3  hfs+04 
1014  1.08401994353           16  mlc+01     1.303E-14          5  mlc+01 
1015  0.37192413884            6  kbm+03     7.68E-16          16  kbm+03 

1016  0.7314627228             5  bbb+12     2.57E-15           1  bbb+12 
1017  0.91693752262            2  dsb+98     1.5649E-15         4  dsb+98 
1018  0.457681471040           9  lfl+06     5.051E-15          4  lfl+06 
1019  0.26507223569            3  mlc+01     3.07E-16          15  mlc+01 
1020  0.73509164794            8  ncb+15     110E-18           20  ncb+15 

1021  1.0729678942             3  mlc+01     1.708E-14          7  mlc+01 
1022  4.327020261             15  scs+17     2.7761E-12        14  scs+17 
1023  0.023623444739392       12  nbb+14     5.88E-20           3  nbb+14 
1024  0.50301500560            1  jcs+17     1.9556E-15         7  jcs+17 
1025  1.2764458195155         17  hlk+04     2.580711E-15      10  hlk+04 

1026  0.0110757509142025      18  tacl99     6.7093E-19         4  tacl99 
1027  0.3645903553             4  nmc81      1.022E-15         14  nmc81 
1028  0.72573215540            9  mlc+01     4.209E-14          4  mlc+01 
1029  0.0850721461634          8  cwp+17     4.16118E-15        3  cwp+17 
1030  0.1678611451478          9  cwp+17     4.72489E-15        3  cwp+17 

1031  0.233164076390           4  lfl+06     7.992E-16          8  lfl+06 
1032  0.8712426056             4  lfl+06     6.1E-17           61  lfl+06 
1033  0.44872324857            7  kbm+03     4.148E-15          9  kbm+03 
1034  2.3552781933             2  dsb+98     4.43E-16           3  dsb+98 
1035  0.46033949229            7  mlc+01     1.6762E-14        20  mlc+01 

1036  0.35585626277            5  bbb+12     6.647E-15          1  bbb+12 
1037  0.3083536                5  kek+13                       0  
1038  0.370141128114           9  kbm+03     8.2788E-15        11  kbm+03 
1039  0.29392818864            7  mlc+01     1.7476E-14        12  mlc+01 
1040  0.45086776633            1  bbb+12     0.7664E-15         5  bbb+12 

1041  0.490856730096           2  fcwa95     3.93E-16           3  fcwa95 
1042  0.140745806053           6  lfl+06     1.7305E-15         6  lfl+06 
1043  0.612330650088           9  kmj+96     3.641E-15         10  kmj+96 
1044  0.623678                 3  ncb+15                       0  
1045  0.4396840                5  ncb+15                       0  

1046  0.35246421320            7  kbm+03     7.38E-16           2  kbm+03 
1047  0.35423394051            6  bbb+12     0.008E-15          3  bbb+12 
1048  0.3957850               87  slr+14                       0  
1049  0.00321                  0  rap+12                       0  
1050  0.86597096270           12  mlc+01     1.24E-15           4  mlc+01 

1051  4.1375385239            16  kbm+03     1.753E-14         18  kbm+03 
1052  2.988192686              9  bbb+12     7.0E-15            1  bbb+12 
1053  0.1811729               16  slr+14                       0  
1054  0.0060006034432179      19  eb01b      1.00E-20           3  eb01b 
1055  0.00332                  0  rap+12                       0  

1056  0.55907133302            4  kbm+03     1.4178E-14        19  kbm+03 
1057  0.57597141155            2  jml+95     2.2287E-14         2  jml+95 
1058  0.67768391249            4  rsm+13     1.096E-15          4  rsm+13 
1059  0.55124125377            4  lfl+06     8.8E-18           73  lfl+06 
1060  0.71763732795            2  crh+06a    0.066E-15          1  crh+06a 

1061  1.0468098769             4  hfs+04     1.488E-14          9  hfs+04 
1062  1.70915449528            4  mlc+01     7.602E-14          3  mlc+01 
1063  0.228564097816          10  hfs+04     1.50749E-14       10  hfs+04 
1064  0.81345283358            7  mlc+01     6.50425E-13        3  mlc+01 
1065  0.93555704483            6  blr+13     1.070E-15          3  blr+13 

1066  0.436506697158           4  jml+95     6.2026E-15         2  jml+95 
1067  0.71083007880           16  kbm+03     7.6893E-14        16  kbm+03 
1068  0.352142380018           3  jml+95     3.7877E-15         2  jml+95 
1069  0.68493649236            2  ncb+15                       0  
1070  0.507356002674          13  yws+15     1.57450E-15       13  yws+15 

1071  0.22420119106            8  bbb+12     0.041E-15          2  bbb+12 
1072  1.17938703902            8  jbo+09     0.232E-15          4  jbo+09 
1073  0.4905065128003         17  hlk+04     1.19317E-16       10  hlk+04 
1074  0.5105                   0  bbb+12                       0  
1075  1.5947455499             8  kbm+03     3.6E-15            3  kbm+03 

1076  2.594578                 6  etm+09                       0  
1077  0.67196419932            9  kbm+03     8.79E-15           3  kbm+03 
1078  0.52912125685           11  nmc81      1.368E-15          5  nmc81 
1079  0.20664850874            3  kel+09     46.715E-15         4  kel+09 
1080  1.2046438889             3  kbm+03     2.071E-14         15  kbm+03 

1081  0.43036655800            4  kbm+03     1.506E-15         13  kbm+03 
1082  0.77136654042           18  kbm+03     3.62E-15           3  kbm+03 
1083  0.252869846841          20  lfl+06     5.755E-16         20  lfl+06 
1084  0.1187713928329          5  jml+95     3.18790E-15        5  jml+95 
1085  0.493091                 2  kek+13                       0  

