SRNo P0                 error_P0  rndm1    P1             error_P1  rndm2
110   3.032071956385          10  hlk+04     6.3562E-16         7  hlk+04 

111   0.336620230291           3  bck+13     0.381E-15          3  bck+13 
112   1.364741                62  slr+14                       0  
113   0.893319660649           1  lxf+05     0.21525E-15        6  lxf+05 
114   0.714519699726           4  hlk+04     2.048265E-15       8  hlk+04 
115   2.05621                  6  kkl+15                       0  

116   0.26920054092953        13  hlk+04     7.3505E-18        10  hlk+04 
117   0.00273258863244         9  rsa+14     1.7666E-20         9  rsa+14 
118   1.76200                 15  slr+14                       0  
119   0.003299339366490734    17  abb+18     7.0470E-21        12  abb+18 
120   1.888                    0  hrk+08                       0  

121   2.59702715738            9  bjd+06     0.057E-15          9  bjd+06 
122   1.934478067294          15  hlk+04     1.342243E-14      15  hlk+04 
123   0.0391226569017806       7  afw+13     2.4075E-19         5  afw+13 
124   0.4441044988             6  rkp+11     1.3037E-14        20  rkp+11 
125   0.1970300980314          3  hlk+04     4.76594E-16        3  hlk+04 

126   0.2264777               50  slr+14                       0  
127   0.156384121559           8  lwy+16     4.39496E-15        5  lwy+16 
128   0.09150682              63  slr+14                       0  
129   0.0794272322920         13  cwp+17     1.673360E-14       7  cwp+17 
130   0.545252742352          16  smd93      1.5382E-15        12  smd93 

131   0.5945761650437          8  ywml10     5.57316E-15        3  ywml10 
132   0.02570173919463         2  lxf+05     7.9E-20            3  lxf+05 
133   1.837                    0  hrk+08                       0  
134   0.754                    0  hrk+08                       0  
135   1.8785                   2  bbj+11                       0  

136   0.687                    0  hrk+08                       0  
137   0.3907150899386          3  hlk+04     7.6601E-17         3  hlk+04 
138   0.65440                  3  cnst96                       0  
139   0.440283                13  slr+14                       0  
140   0.75711887132            6  bcm+15     9.7E-16            6  bcm+15 

141   9.07838822               5  rip+13     4.1E-15            1  rip+13 
142   1.241                    0  hrk+08                       0  
143   3.453004027             12  kv11       2.759E-14         10  kv11 
144   2.161308494552          15  hlk+04     1.16338E-15       15  hlk+04 
145   0.9005                   0  ttol16                       0  

146   0.922474730055           2  bck+13     39.3444E-15        2  bck+13 
147   0.3262794534509         14  bfrs18     8.17E-18          11  bfrs18 
148   0.005757451936712637    17  rhc+16     5.729215E-20      17  rhc+16 
149   2.18819                  2  kkl+15                       0  
150   0.4504483308563         17  hlk+04     1.48347E-16       19  hlk+04 

151   0.479163971291          14  mfl+06     3.371E-15          4  mfl+06 
152   0.4380141493906          8  hlk+04     1.02649E-16        6  hlk+04 
153   0.24545429               7  mfl+06     0E-15              2  mfl+06 
154   0.548939223294           3  hlk+04     5.753107E-15      16  hlk+04 
155   0.0457818168729515      33  msf+15     1.8612E-19         8  msf+15 

156   0.340729436235          10  hlk+04     2.37227E-15        7  hlk+04 
157   0.320422711526          12  ckm+01     1.02119E-14       15  ckm+01 
158   0.117073051             15  rcl+13                       0  
159   0.80013207321           10  mfl+06     36.70E-15          3  mfl+06 
160   0.5049                   0  dsm+13                       0  

161   2.49701169613           19  mfl+06     0.21E-15           3  mfl+06 
162   0.231390388             73  rcl+13                       0  
163   1.88347965849           18  lbr+13     5.3E-16           15  lbr+13 
164   1.1339000               18  rcl+13                       0  
165   1.133076123659           6  hlk+04     1.39825E-15        6  hlk+04 

166   5.76209653               4  gwk+10     5.82E-12           3  gwk+10 
167   0.638565481517           3  hlk+04     5.582339E-15      17  hlk+04 
168   0.69125141818            4  ckm+01     2.3090E-14         6  ckm+01 
169   0.0041                   0  dsm+13                       0  
170   0.07656440              44  slr+14                       0  

171   0.322061827468           8  mfl+06     0.206E-15          4  mfl+06 
172   0.004990575114114        3  frg07      1.17E-21          13  frg07 
173   0.3022                   0  bcm+15                       0  
174   0.2223665151982          7  bfrs18     1.16047E-17       15  bfrs18 
175   0.515                    0  hrk+08                       0  

176   0.340194                12  slr+14                       0  
177   0.263211634568           3  mfl+06     0.6968E-15         5  mfl+06 
178   0.2416421756731          7  hlk+04     3.0092E-17         9  hlk+04 
179   0.43342070              30  rcl+13                       0  
180   0.67453190906            3  mfl+06     17.727E-15        14  mfl+06 

181   0.35443759451370        13  hlk+04     7.36052E-17        6  hlk+04 
182   8.0470                   2  kkm+03     6.5E-11            5  kkm+03 
183   3.74553925030            3  ywml10     4.00530E-14       15  ywml10 
184   0.97572496638            6  ckm+01     1.5509E-14         6  ckm+01 
185   0.64274275093            3  mfl+06     5.354E-15         13  mfl+06 

186   1.1491957               14  rcl+13                       0  
187   0.96301770198            2  snt97      1.60E-16           1  snt97 
188   0.00439                  0  rap+12                       0  
189   0.0333924123            12  ljg+15     4.20972E-13        3  ljg+15 
190   1.81756503106           17  mfl+06     425.05E-15         6  mfl+06 

191   0.210524357             30  rcl+13                       0  
192   0.20051133               2  mfl+06     11.5E-15           3  mfl+06 
193   1.24585559629            5  smd93      5.65E-16           3  smd93 
